StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,I02,I03,I04,I05,I06,I07,C01,C02,C03,I08_1,I09_1,Q01_1,T01_First Click,T01_Last Click,T01_Page Submit,T01_Click Count,Q02_1,T02_First Click,T02_Last Click,T02_Page Submit,T02_Click Count,Q03_1,T03_First Click,T03_Last Click,T03_Page Submit,T03_Click Count,Q04_1,T04_First Click,T04_Last Click,T04_Page Submit,T04_Click Count,Q05_1,T05_First Click,T05_Last Click,T05_Page Submit,T05_Click Count,Q06_1,T06_First Click,T06_Last Click,T06_Page Submit,T06_Click Count,Q07_1,T07_First Click,T07_Last Click,T07_Page Submit,T07_Click Count,Q08_1,T08_First Click,T08_Last Click,T08_Page Submit,T08_Click Count,Q09_1,T09_First Click,T09_Last Click,T09_Page Submit,T09_Click Count,Q10_1,T10_First Click,T10_Last Click,T10_Page Submit,T10_Click Count,Q11_1,T11_First Click,T11_Last Click,T11_Page Submit,T11_Click Count,Q12_1,T12_First Click,T12_Last Click,T12_Page Submit,T12_Click Count,Q13_1,T13_First Click,T13_Last Click,T13_Page Submit,T13_Click Count,Q14_1,T14_First Click,T14_Last Click,T14_Page Submit,T14_Click Count,Q15_1,T15_First Click,T15_Last Click,T15_Page Submit,T15_Click Count
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2020 23:32,1/15/2020 23:38,0,73.189.183.209,100,369,1,1/15/2020 23:38,R_1JPbyVnDNWKfrtU,,,,,37.31770325,-121.9380035,anonymous,EN,1,36,18,6,1,10,,1,1,1,1,2,17.032,17.976,19.961,2,7,9.449,9.978,11.612,2,1,19.879,19.879,20.891,1,4,21.448,21.448,22.378,1,7,10.22,10.22,13.747,1,7,4.579,5.024,5.614,2,7,8.25,8.25,10.867,1,3,10.466,11.77,12.625,3,1,26.885,27.49,29.321,2,1,8.01,9.935,11.241,2,6,9.093,15.019,15.765,3,1,1.834,16.818,18.618,2,1,5.159,5.813,7.208,2,7,6.382,6.382,8.206,1,1,24.4,24.4,25.784,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2020 23:32,1/15/2020 23:39,0,73.48.80.170,100,418,1,1/15/2020 23:39,R_eL0qVRF5vPDTDG1,,,,,30.49079895,-84.31580353,anonymous,EN,1,37,1,6,1,5,,2,2,1,1,2,3.114,23.757,24.602,3,3,8.802,8.802,11.792,1,5,11.416,11.416,12.51,1,1,14.872,14.872,15.88,1,5,13.26,13.26,14.003,1,7,28.986,28.986,30.3,1,5,20.477,20.477,21.915,1,3,16.626,16.626,17.37,1,5,15.236,15.236,16.154,1,6,17.706,17.706,19.181,1,6,4.006,21.198,22.131,3,5,1.996,48.752,50.4,4,3,20.241,20.241,21.366,1,1,5.581,5.581,6.43,1,1,12.025,14.485,15.364,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/16/2020 9:27,1/16/2020 9:35,0,98.232.238.129,100,524,1,1/16/2020 9:35,R_1OwyMPKAabytKRM,,,,,44.59280396,-123.2745972,anonymous,EN,1,33,1,6,1,5,,3,3,2,1,3,7.578,7.578,177.085,1,6,4.965,4.965,5.71,1,5,10.364,10.364,14.252,1,3,10.644,14.819,15.704,4,6,7.717,12.708,19.754,2,6,15.692,16.39,18.559,2,7,23.75,23.75,24.473,1,3,1.131,10.058,20.928,2,5,0.817,17.402,17.93,4,6,10.055,10.365,11.036,2,6,13.611,20.846,21.654,2,5,14.041,19.301,20.354,2,5,5.558,5.558,13.801,1,5,4.318,6.641,9.745,3,3,5.158,5.158,6.761,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/16/2020 10:55,1/16/2020 11:03,0,137.52.20.243,100,452,1,1/16/2020 11:03,R_1Naj0irbhLMI4Za,,,,,26.07029724,-80.22480011,anonymous,EN,1,27,6,6,1,6,,100,100,4,1,1,6.993,6.993,7.821,1,7,11.739,11.739,12.429,1,7,9.843,9.843,12.725,1,4,8.957,8.957,9.574,1,7,7.256,7.256,104.183,1,4,56.745,56.745,57.652,1,7,5.529,5.529,6.291,1,7,31.544,31.544,32.201,1,7,13.34,13.34,15.416,1,7,19.021,19.021,19.718,1,7,21.137,21.137,22.331,1,1,12.239,12.239,13.208,1,7,8.051,8.051,8.756,1,7,11.54,11.54,16.858,1,1,12.927,12.927,14.863,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/16/2020 14:00,1/16/2020 14:07,0,104.162.87.243,100,454,1,1/16/2020 14:07,R_1nZ3rDQMEj0Yohy,,,,,40.66430664,-73.9763031,anonymous,EN,1,49,1,6,1,2,,20,20,2,1,4,19.955,19.955,24.177,1,2,11.273,11.273,12.078,1,4,9.116,9.116,9.994,1,6,19.851,25.056,25.832,2,6,20.2,20.2,21.108,1,4,15.455,15.455,16.973,1,7,7.648,7.648,9.779,1,3,11.302,29.107,30.066,5,6,23.661,41.948,43.931,5,7,20.669,20.669,21.441,1,4,33.193,40.366,48.086,3,5,14.04,25.876,27.344,2,7,11.757,14.787,16.404,2,1,6.773,6.773,8.629,1,1,4.229,4.229,14.297,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/16/2020 14:12,1/16/2020 14:26,0,96.245.55.82,100,893,1,1/16/2020 14:26,R_9KWvno3GXDFQsWl,,,,,40.14250183,-74.86029816,anonymous,EN,2,61,1,5,1,6,,5,5,1,7,1,63.644,63.644,67.371,1,7,22.024,22.024,23.578,1,1,34.095,34.095,36.208,1,7,33.723,33.723,35.365,1,7,52.615,52.615,55.173,1,1,32.313,32.313,35.285,1,7,56.317,56.317,57.865,1,1,45.336,45.336,48.058,1,7,97.75,97.75,100.188,1,6,36.992,36.992,38.641,1,7,80.561,80.561,82.259,1,7,43.323,43.323,45.261,1,7,39.066,39.066,40.885,1,1,16.418,16.418,18.196,1,1,41.569,41.569,43.659,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2020 3:26,1/21/2020 3:30,0,73.189.183.209,100,202,1,1/21/2020 3:30,R_wRlCEns71nDEInf,,,,,37.31770325,-121.9380035,anonymous,EN,1,36,19,6,1,8,,3,3,1,1,1,6.976,7.319,8.526,2,4,3.759,4.397,6.699,2,7,7.105,7.105,9.588,1,6,6.651,6.651,11.368,1,7,10.985,10.985,12.278,1,6,3.777,3.777,5.294,1,7,6.458,6.458,7.245,1,1,4.487,4.487,5.55,1,2,7.128,7.429,8.284,2,4,7.156,8.42,9.187,2,3,10.017,11.426,11.979,2,1,4.884,7.365,7.973,2,6,10.24,12.551,13.382,3,6,9.673,9.673,10.433,1,5,5.587,6.876,10.661,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2020 3:45,1/21/2020 3:53,0,67.172.70.217,100,480,1,1/21/2020 3:53,R_2s1p5sewzk5tZ46,,,,,26.26809692,-80.209198,anonymous,EN,2,55,1,5,1,8,,50,50,5,6,2,32.392,32.392,33.553,1,6,12.826,12.826,13.745,1,6,17.766,19.727,20.544,2,3,17.124,17.124,18.019,1,6,42.117,42.117,43.31,1,5,17.615,17.615,18.549,1,7,27.01,28.546,29.467,2,2,21.82,21.82,22.904,1,7,26.056,26.056,26.968,1,6,36.838,36.838,37.696,1,1,37.464,37.464,38.975,1,1,25.779,25.779,26.912,1,7,21.105,21.105,23.155,1,1,10.361,10.361,11.218,1,1,23.65,23.65,26.545,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2020 3:55,1/21/2020 3:58,0,96.36.47.33,100,221,1,1/21/2020 3:59,R_3Jwy1p7J41pcQGe,,,,,42.27349854,-85.54589844,anonymous,EN,1,35,1,3,1,2,,0,0,4,4,1,3.13,5.506,8.35,2,7,1.194,4.905,7.235,3,7,4.769,10.417,12.488,2,7,4.699,5.7,8.372,2,7,1.802,8.284,9.177,2,7,2.174,2.174,8.33,1,7,1.696,3.36,8.53,2,1,3.498,5.655,9.524,2,4,1.146,5.466,8.75,3,1,1.453,7.994,10.229,3,4,6.831,10.778,15.099,3,4,2.69,4.093,7.524,2,7,2.477,9.358,10.726,2,1,1.975,1.975,6.646,1,1,1.791,5.963,8.006,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2020 4:28,1/21/2020 4:39,0,76.217.241.48,100,653,1,1/21/2020 4:39,R_cOnNYTN4f151K37,,,,,39.73519897,-84.08640289,anonymous,EN,2,48,1,6,1,1,,4,4,6,6,1,30.931,30.931,32.512,1,5,31.187,31.187,32.298,1,6,25.116,25.116,27.158,1,3,35.395,36.152,37.709,2,6,32.868,32.868,38.844,1,5,32.988,32.988,34.474,1,7,43.058,43.058,43.862,1,2,23.746,23.746,25.669,1,7,24.682,24.682,25.509,1,5,51.633,51.633,53.079,1,1,55.294,55.294,56.465,1,1,27.78,27.78,29.649,1,7,28.946,28.946,31.629,1,1,16.813,16.813,19.213,1,1,38.655,38.655,40.352,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
